title	text	path
Urirang	urirang	https://dictionary.basabali.org/Urirang
Urub	urub	https://dictionary.basabali.org/Urub
Urug	urug	https://dictionary.basabali.org/Urug
Uruk	uruk	https://dictionary.basabali.org/Uruk
Uruk-urukang	uruk-urukang	https://dictionary.basabali.org/Uruk-urukang
Urukung	urukung	https://dictionary.basabali.org/Urukung
Urung	urung	https://dictionary.basabali.org/Urung
Urungan	urungan	https://dictionary.basabali.org/Urungan
Urut	urut	https://dictionary.basabali.org/Urut
Urutan	urutan	https://dictionary.basabali.org/Urutan
Usaba	usaba	https://dictionary.basabali.org/Usaba
Usada	usada	https://dictionary.basabali.org/Usada
Usaha	usaha	https://dictionary.basabali.org/Usaha
Usak	usak	https://dictionary.basabali.org/Usak
Usam	usam	https://dictionary.basabali.org/Usam
Usan	usan	https://dictionary.basabali.org/Usan
Usap	usap	https://dictionary.basabali.org/Usap
Usapin	usapin	https://dictionary.basabali.org/Usapin
Usehan	usehan	https://dictionary.basabali.org/Usehan
Useran	useran	https://dictionary.basabali.org/Useran
Usil	usil	https://dictionary.basabali.org/Usil
Usuan	usuan	https://dictionary.basabali.org/Usuan
Usuhin	usuhin	https://dictionary.basabali.org/Usuhin
Usuk	usuk	https://dictionary.basabali.org/Usuk
Usul	usul	https://dictionary.basabali.org/Usul
Usus	usus	https://dictionary.basabali.org/Usus
Utah	utah	https://dictionary.basabali.org/Utah
Utama	utama	https://dictionary.basabali.org/Utama
Utamaang	utamaang	https://dictionary.basabali.org/Utamaang
Utamaning paksi	utamaning paksi	https://dictionary.basabali.org/Utamaning_paksi
Utang	utang	https://dictionary.basabali.org/Utang
Utara	utara	https://dictionary.basabali.org/Utara
Utawi	utawi	https://dictionary.basabali.org/Utawi
Utik	utik	https://dictionary.basabali.org/Utik
Utik-utik	utik-utik	https://dictionary.basabali.org/Utik-utik
Utpati	utpati	https://dictionary.basabali.org/Utpati
Utsaha	utsaha	https://dictionary.basabali.org/Utsaha
Utsawa	utsawa	https://dictionary.basabali.org/Utsawa
Utu	utu	https://dictionary.basabali.org/Utu
Utung-utung	utung-utung	https://dictionary.basabali.org/Utung-utung
Utus	utus	https://dictionary.basabali.org/Utus
Utusan	utusan	https://dictionary.basabali.org/Utusan
Uud	uud	https://dictionary.basabali.org/Uud
Uug	uug	https://dictionary.basabali.org/Uug
Uuh	uuh	https://dictionary.basabali.org/Uuh
Uun	uun	https://dictionary.basabali.org/Uun
Uup	uup	https://dictionary.basabali.org/Uup
Uus	uus	https://dictionary.basabali.org/Uus
Uusang	uusang	https://dictionary.basabali.org/Uusang
Uut	uut	https://dictionary.basabali.org/Uut
Uut-uut	uut-uut	https://dictionary.basabali.org/Uut-uut
Uwaya ngangsar	uwaya ngangsar	https://dictionary.basabali.org/Uwaya_ngangsar
Uwug	uwug	https://dictionary.basabali.org/Uwug
Uyag	uyag	https://dictionary.basabali.org/Uyag
Uyah	uyah	https://dictionary.basabali.org/Uyah
Uyah krutuk	uyah krutuk	https://dictionary.basabali.org/Uyah_krutuk
Uyah uku	uyah uku	https://dictionary.basabali.org/Uyah_uku
Uyahin	uyahin	https://dictionary.basabali.org/Uyahin
Uyak	uyak	https://dictionary.basabali.org/Uyak
Uyang	uyang	https://dictionary.basabali.org/Uyang
Uyang-uyangan	uyang-uyangan	https://dictionary.basabali.org/Uyang-uyangan
Uye	uye	https://dictionary.basabali.org/Uye
Uyeg	uyeg	https://dictionary.basabali.org/Uyeg
Uyeng	uyeng	https://dictionary.basabali.org/Uyeng
Uyeng-uyengan	uyeng-uyengan	https://dictionary.basabali.org/Uyeng-uyengan
Uyun	uyun	https://dictionary.basabali.org/Uyun
Uyung	uyung	https://dictionary.basabali.org/Uyung
Uyut	uyut	https://dictionary.basabali.org/Uyut
